                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2691,                 1.7993,                 1.4145,                0.65263,                0.45589,                0.52909,                0.30611,                 1.4471,                 1.8708,                 1.4477,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.3634,                 1.5442,                 1.4683,                0.36953,                0.44118,                0.29416,                0.13837,                 1.6937,                 2.3426,                 1.8439,              0.0012939,              0.0012939,              0.0012939
                      3,                 1.3843,                 1.5297,                 1.4933,                0.24243,                0.35294,                 0.2068,                0.09289,                 1.7388,                 3.5221,                 1.8241,               0.001908,               0.001908,               0.001908
                      4,                 1.4328,                 1.5219,                 1.5104,                0.61678,                0.48529,                0.54484,                0.29631,                 1.6199,                 2.0722,                 1.7496,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3906,                 1.4658,                 1.4957,                0.69179,                0.48529,                0.57221,                0.31585,                 1.5523,                 1.8198,                 1.6467,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3949,                 1.4205,                 1.4686,                0.64193,                0.54779,                0.58896,                  0.287,                 1.7158,                 1.8514,                 1.7152,               0.001802,               0.001802,               0.001802
                      7,                 1.3519,                 1.3846,                 1.4593,                0.44915,                0.49265,                 0.4405,                  0.215,                 1.8218,                 1.9427,                 1.8227,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3339,                  1.397,                 1.4452,                0.64388,                0.55882,                0.60834,                 0.3346,                 1.5683,                 1.6102,                 1.5958,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3205,                 1.3071,                 1.4345,                0.69276,                0.58824,                0.64583,                0.36375,                 1.5695,                 1.4637,                 1.5639,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2995,                 1.2513,                 1.4257,                0.71023,                0.59559,                0.64031,                0.35615,                 1.4755,                 1.7312,                 1.5579,              0.0016436,              0.0016436,              0.0016436
